"GEO_ID","NAME","P039001","P039002","P039003","P039004","P039005","P039006","P039007","P039008","P039009","P039010","P039011","P039012","P039013","P039014","P039015","P039016","P039017","P039018","P039019","P039020"
"8710000US3610038","ZCTA5 10038, New York","3808","2451","802","332","124","346","1649","1357","321","90","32","9","49","231","1036","445","95","81","269","591"
"8710000US3610039","ZCTA5 10039, New York","5896","1745","896","254","252","390","849","4151","666","316","73","56","187","350","3485","2197","381","515","1301","1288"
"8710000US3610040","ZCTA5 10040, New York","9323","4368","2137","639","457","1041","2231","4955","965","452","148","77","227","513","3990","2292","494","437","1361","1698"
"8710000US3610044","ZCTA5 10044, New York","2347","1703","762","323","118","321","941","644","88","35","6","7","22","53","556","303","45","57","201","253"
"8710000US3610065","ZCTA5 10065, New York","6766","5821","2095","1065","303","727","3726","945","267","99","32","10","57","168","678","292","84","16","192","386"
"8710000US3610069","ZCTA5 10069, New York","1269","1108","495","292","79","124","613","161","45","24","11","1","12","21","116","59","14","3","42","57"
"8710000US3610075","ZCTA5 10075, New York","5263","4540","1822","714","312","796","2718","723","170","71","17","6","48","99","553","283","53","15","215","270"
"8710000US3610103","ZCTA5 10103, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610110","ZCTA5 10110, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610111","ZCTA5 10111, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610112","ZCTA5 10112, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610115","ZCTA5 10115, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610119","ZCTA5 10119, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610128","ZCTA5 10128, New York","12695","10158","4219","1701","633","1885","5939","2537","506","215","47","21","147","291","2031","1032","231","112","689","999"
"8710000US3610152","ZCTA5 10152, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610153","ZCTA5 10153, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610154","ZCTA5 10154, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610162","ZCTA5 10162, New York","412","356","200","89","45","66","156","56","15","11","2","0","9","4","41","30","13","3","14","11"
"8710000US3610165","ZCTA5 10165, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610167","ZCTA5 10167, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610168","ZCTA5 10168, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610169","ZCTA5 10169, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610170","ZCTA5 10170, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610171","ZCTA5 10171, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610172","ZCTA5 10172, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610173","ZCTA5 10173, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610174","ZCTA5 10174, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610177","ZCTA5 10177, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610199","ZCTA5 10199, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610271","ZCTA5 10271, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610278","ZCTA5 10278, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610279","ZCTA5 10279, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610280","ZCTA5 10280, New York","1845","1545","697","372","83","242","848","300","75","39","15","2","22","36","225","148","41","12","95","77"
"8710000US3610282","ZCTA5 10282, New York","1160","1013","603","421","78","104","410","147","37","29","9","4","16","8","110","76","24","9","43","34"
"8710000US3610301","ZCTA5 10301, New York","8615","5362","2567","628","604","1335","2795","3253","780","389","114","80","195","391","2473","1588","339","332","917","885"
"8710000US3610302","ZCTA5 10302, New York","4280","2704","1561","342","417","802","1143","1576","443","207","49","63","95","236","1133","711","127","196","388","422"
"8710000US3610303","ZCTA5 10303, New York","6198","3414","2035","370","598","1067","1379","2784","607","324","88","50","186","283","2177","1509","276","366","867","668"
"8710000US3610304","ZCTA5 10304, New York","10160","6151","3041","639","658","1744","3110","4009","861","434","106","77","251","427","3148","2078","394","517","1167","1070"
"8710000US3610305","ZCTA5 10305, New York","10505","7686","3691","920","790","1981","3995","2819","758","297","80","54","163","461","2061","1040","213","171","656","1021"
"8710000US3610306","ZCTA5 10306, New York","14870","11244","5098","1196","1006","2896","6146","3626","873","331","88","41","202","542","2753","1301","230","175","896","1452"
"8710000US3610307","ZCTA5 10307, New York","3614","2903","1571","295","347","929","1332","711","193","89","21","11","57","104","518","262","40","31","191","256"
"8710000US3610308","ZCTA5 10308, New York","7545","5983","2678","626","506","1546","3305","1562","407","148","37","22","89","259","1155","525","85","69","371","630"
"8710000US3610309","ZCTA5 10309, New York","8275","6718","3441","793","740","1908","3277","1557","393","166","48","15","103","227","1164","587","91","76","420","577"
"8710000US3610310","ZCTA5 10310, New York","5990","3831","2138","455","543","1140","1693","2159","449","240","56","61","123","209","1710","1113","218","282","613","597"
"8710000US3610311","ZCTA5 10311, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610312","ZCTA5 10312, New York","16163","13094","5945","1369","1147","3429","7149","3069","855","351","77","44","230","504","2214","1024","166","109","749","1190"
"8710000US3610314","ZCTA5 10314, New York","22336","17183","7663","1846","1575","4242","9520","5153","1394","552","140","82","330","842","3759","1781","346","234","1201","1978"
"8710000US3610451","ZCTA5 10451, New York","10790","3554","2000","472","590","938","1554","7236","1184","569","171","101","297","615","6052","3969","769","951","2249","2083"
"8710000US3610452","ZCTA5 10452, New York","17554","6276","4070","983","1212","1875","2206","11278","2305","1214","398","256","560","1091","8973","6277","1186","1584","3507","2696"
"8710000US3610453","ZCTA5 10453, New York","18179","5920","3631","824","1134","1673","2289","12259","2137","1141","330","217","594","996","10122","7280","1444","1881","3955","2842"
"8710000US3610454","ZCTA5 10454, New York","8321","2640","1642","295","533","814","998","5681","884","466","122","106","238","418","4797","3388","629","915","1844","1409"
"8710000US3610455","ZCTA5 10455, New York","9076","3071","1818","387","576","855","1253","6005","1017","526","166","108","252","491","4988","3566","695","934","1937","1422"
"8710000US3610456","ZCTA5 10456, New York","19901","6476","4121","852","1330","1939","2355","13425","2248","1183","339","234","610","1065","11177","7996","1511","2137","4348","3181"
"8710000US3610457","ZCTA5 10457, New York","15938","5338","3342","795","1015","1532","1996","10600","1886","997","275","201","521","889","8714","6320","1180","1768","3372","2394"
"8710000US3610458","ZCTA5 10458, New York","17420","6645","4151","990","1225","1936","2494","10775","2204","1162","336","232","594","1042","8571","6220","1274","1623","3323","2351"
"8710000US3610459","ZCTA5 10459, New York","10905","3724","2230","462","643","1125","1494","7181","1270","699","203","146","350","571","5911","4336","875","1181","2280","1575"
"8710000US3610460","ZCTA5 10460, New York","13519","4610","2715","617","777","1321","1895","8909","1449","767","228","148","391","682","7460","5376","1015","1427","2934","2084"
"8710000US3610461","ZCTA5 10461, New York","12100","7516","3533","957","794","1782","3983","4584","1139","499","130","75","294","640","3445","1983","467","327","1189","1462"
"8710000US3610462","ZCTA5 10462, New York","18455","9405","4993","1417","1195","2381","4412","9050","2089","1020","310","209","501","1069","6961","4309","942","803","2564","2652"
"8710000US3610463","ZCTA5 10463, New York","16367","9285","4095","1387","814","1894","5190","7082","1428","636","204","103","329","792","5654","3375","679","637","2059","2279"
"8710000US3610464","ZCTA5 10464, New York","1119","821","309","77","51","181","512","298","93","40","8","9","23","53","205","113","14","8","91","92"
"8710000US3610465","ZCTA5 10465, New York","10650","6587","2914","718","613","1583","3673","4063","940","413","102","65","246","527","3123","1723","287","328","1108","1400"
"8710000US3610466","ZCTA5 10466, New York","16667","7095","3637","670","948","2019","3458","9572","1740","864","207","182","475","876","7832","5163","969","1214","2980","2669"
"8710000US3610467","ZCTA5 10467, New York","22760","9792","5480","1416","1526","2538","4312","12968","2650","1318","399","268","651","1332","10318","7083","1472","1683","3928","3235"
"8710000US3610468","ZCTA5 10468, New York","17297","6639","3952","986","1115","1851","2687","10658","2106","1148","370","233","545","958","8552","5868","1223","1391","3254","2684"
"8710000US3610469","ZCTA5 10469, New York","16045","8211","3985","853","959","2173","4226","7834","1583","795","174","167","454","788","6251","3909","724","872","2313","2342"
"8710000US3610470","ZCTA5 10470, New York","3623","1984","880","251","200","429","1104","1639","364","153","41","18","94","211","1275","732","152","162","418","543"
"8710000US3610471","ZCTA5 10471, New York","4841","3639","1530","477","320","733","2109","1202","294","130","39","15","76","164","908","482","112","49","321","426"
"8710000US3610472","ZCTA5 10472, New York","15453","6454","3688","900","997","1791","2766","8999","1893","971","283","197","491","922","7106","4873","900","1257","2716","2233"
"8710000US3610473","ZCTA5 10473, New York","14638","5828","3002","529","769","1704","2826","8810","1399","738","183","125","430","661","7411","4719","766","1131","2822","2692"
"8710000US3610474","ZCTA5 10474, New York","2650","939","585","142","189","254","354","1711","307","176","55","41","80","131","1404","1025","201","283","541","379"
"8710000US3610475","ZCTA5 10475, New York","10441","5137","1906","403","423","1080","3231","5304","984","441","103","50","288","543","4320","2232","429","325","1478","2088"
"8710000US3610501","ZCTA5 10501, New York","340","300","162","18","29","115","138","40","12","2","1","1","0","10","28","15","0","1","14","13"
"8710000US3610502","ZCTA5 10502, New York","1538","1336","697","105","115","477","639","202","50","19","2","1","16","31","152","75","4","7","64","77"
"8710000US3610503","ZCTA5 10503, New York","33","30","2","1","0","1","28","3","2","1","0","0","1","1","1","0","0","0","0","1"
"8710000US3610504","ZCTA5 10504, New York","2234","2018","1129","166","213","750","889","216","55","28","5","4","19","27","161","93","7","9","77","68"
"8710000US3610505","ZCTA5 10505, New York","213","200","151","19","48","84","49","13","5","5","0","1","4","0","8","6","0","1","5","2"
"8710000US3610506","ZCTA5 10506, New York","1643","1488","795","117","166","512","693","155","42","21","2","2","17","21","113","78","5","2","71","35"
"8710000US3610507","ZCTA5 10507, New York","1346","1055","552","136","119","297","503","291","83","40","10","6","24","43","208","111","11","11","89","97"
"8710000US3610509","ZCTA5 10509, New York","5045","4066","2017","412","354","1251","2049","979","332","141","30","11","100","191","647","349","45","41","263","298"
"8710000US3610510","ZCTA5 10510, New York","2622","2334","1210","199","214","797","1124","288","63","30","5","4","21","33","225","124","12","8","104","101"
"8710000US3610511","ZCTA5 10511, New York","596","460","217","52","47","118","243","136","34","16","2","1","13","18","102","58","6","8","44","44"
"8710000US3610512","ZCTA5 10512, New York","6871","5638","2631","561","478","1592","3007","1233","385","187","47","25","115","198","848","471","70","54","347","377"
"8710000US3610514","ZCTA5 10514, New York","3382","3096","1847","280","353","1214","1249","286","60","41","5","4","32","19","226","161","14","14","133","65"
"8710000US3610516","ZCTA5 10516, New York","1429","1155","533","137","91","305","622","274","83","42","4","6","32","41","191","100","13","11","76","91"
"8710000US3610517","ZCTA5 10517, New York","148","127","64","17","10","37","63","21","6","5","1","0","4","1","15","9","0","2","7","6"
"8710000US3610518","ZCTA5 10518, New York","343","295","180","36","29","115","115","48","13","8","1","0","7","5","35","21","3","1","17","14"
"8710000US3610519","ZCTA5 10519, New York","77","60","31","7","5","19","29","17","2","1","1","0","0","1","15","11","2","0","9","4"
"8710000US3610520","ZCTA5 10520, New York","3284","2751","1417","306","239","872","1334","533","162","75","14","14","47","87","371","216","26","14","176","155"
"8710000US3610522","ZCTA5 10522, New York","2674","2116","1054","239","174","641","1062","558","123","59","10","4","45","64","435","257","32","23","202","178"
"8710000US3610523","ZCTA5 10523, New York","1803","1265","661","148","149","364","604","538","161","70","15","17","38","91","377","202","34","34","134","175"
"8710000US3610524","ZCTA5 10524, New York","1174","1001","439","91","75","273","562","173","48","27","6","0","21","21","125","72","13","7","52","53"
"8710000US3610526","ZCTA5 10526, New York","475","402","224","42","44","138","178","73","18","5","2","0","3","13","55","26","2","2","22","29"
"8710000US3610527","ZCTA5 10527, New York","257","235","125","14","27","84","110","22","6","3","0","1","2","3","16","9","2","0","7","7"
"8710000US3610528","ZCTA5 10528, New York","3305","2700","1385","271","294","820","1315","605","138","52","14","7","31","86","467","245","44","21","180","222"
"8710000US3610530","ZCTA5 10530, New York","3385","2812","1025","384","154","487","1787","573","158","56","12","4","40","102","415","168","32","13","123","247"
"8710000US3610532","ZCTA5 10532, New York","1321","1139","529","112","86","331","610","182","56","21","9","2","10","35","126","48","3","3","42","78"
"8710000US3610533","ZCTA5 10533, New York","1996","1697","895","160","135","600","802","299","63","29","1","2","26","34","236","130","9","6","115","106"
"8710000US3610535","ZCTA5 10535, New York","139","101","58","9","8","41","43","38","11","6","2","0","4","5","27","14","3","1","10","13"
"8710000US3610536","ZCTA5 10536, New York","2988","2642","1421","220","264","937","1221","346","92","47","9","7","31","45","254","146","6","17","123","108"
"8710000US3610537","ZCTA5 10537, New York","640","483","245","66","48","131","238","157","49","23","4","1","18","26","108","67","13","15","39","41"
"8710000US3610538","ZCTA5 10538, New York","4526","3980","2239","492","466","1281","1741","546","133","62","6","7","49","71","413","241","28","20","193","172"
"8710000US3610541","ZCTA5 10541, New York","7107","5984","3011","555","538","1918","2973","1123","365","155","31","12","112","210","758","403","52","34","317","355"
"8710000US3610543","ZCTA5 10543, New York","5037","3976","2036","459","425","1152","1940","1061","314","150","40","27","83","164","747","439","69","57","313","308"
"8710000US3610545","ZCTA5 10545, New York","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610546","ZCTA5 10546, New York","367","312","162","36","33","93","150","55","14","7","1","1","5","7","41","24","1","1","22","17"
"8710000US3610547","ZCTA5 10547, New York","1897","1481","795","181","156","458","686","416","99","53","9","4","40","46","317","199","33","29","137","118"
"8710000US3610548","ZCTA5 10548, New York","837","674","307","64","49","194","367","163","37","22","6","1","15","15","126","74","10","9","55","52"
"8710000US3610549","ZCTA5 10549, New York","4149","3224","1672","389","332","951","1552","925","319","149","56","17","76","170","606","359","40","60","259","247"
"8710000US3610550","ZCTA5 10550, New York","8832","3854","2050","497","502","1051","1804","4978","906","456","123","74","259","450","4072","2657","565","608","1484","1415"
"8710000US3610552","ZCTA5 10552, New York","4925","3269","1330","442","275","613","1939","1656","351","141","33","30","78","210","1305","677","140","117","420","628"
"8710000US3610553","ZCTA5 10553, New York","2526","1242","592","133","147","312","650","1284","246","105","26","12","67","141","1038","644","111","141","392","394"
"8710000US3610560","ZCTA5 10560, New York","1241","1079","528","96","90","342","551","162","52","17","3","1","13","35","110","54","4","6","44","56"
"8710000US3610562","ZCTA5 10562, New York","7361","5443","2653","734","562","1357","2790","1918","580","311","107","50","154","269","1338","795","152","156","487","543"
"8710000US3610566","ZCTA5 10566, New York","5584","3637","1786","560","418","808","1851","1947","539","273","99","46","128","266","1408","872","175","205","492","536"
"8710000US3610567","ZCTA5 10567, New York","5361","4580","2388","460","404","1524","2192","781","228","114","21","20","73","114","553","300","33","31","236","253"
"8710000US3610570","ZCTA5 10570, New York","3200","2751","1483","258","247","978","1268","449","121","50","7","10","33","71","328","187","27","14","146","141"
"8710000US3610573","ZCTA5 10573, New York","8915","6492","3513","837","867","1809","2979","2423","839","379","136","61","182","460","1584","828","155","154","519","756"
"8710000US3610576","ZCTA5 10576, New York","1475","1295","620","103","114","403","675","180","49","19","2","0","17","30","131","81","6","11","64","50"
"8710000US3610577","ZCTA5 10577, New York","666","618","315","43","64","208","303","48","16","7","0","2","5","9","32","18","1","4","13","14"
"8710000US3610578","ZCTA5 10578, New York","181","156","95","21","16","58","61","25","3","1","0","0","1","2","22","12","0","0","12","10"
"8710000US3610579","ZCTA5 10579, New York","2407","2035","969","208","151","610","1066","372","131","61","17","5","39","70","241","133","18","11","104","108"
"8710000US3610580","ZCTA5 10580, New York","4468","3979","2381","420","523","1438","1598","489","119","61","11","10","40","58","370","208","20","18","170","162"
"8710000US3610583","ZCTA5 10583, New York","10751","9602","5306","905","1033","3368","4296","1149","254","124","10","10","104","130","895","457","40","43","374","438"
"8710000US3610588","ZCTA5 10588, New York","608","506","248","48","52","148","258","102","32","12","2","2","8","20","70","42","7","8","27","28"
"8710000US3610589","ZCTA5 10589, New York","2349","2075","633","129","101","403","1442","274","56","19","3","3","13","37","218","89","14","5","70","129"
"8710000US3610590","ZCTA5 10590, New York","1931","1676","871","117","137","617","805","255","71","44","9","3","32","27","184","112","8","12","92","72"
"8710000US3610591","ZCTA5 10591, New York","5366","3935","1964","591","390","983","1971","1431","384","193","57","19","117","191","1047","635","117","105","413","412"
"8710000US3610594","ZCTA5 10594, New York","1333","1114","523","95","90","338","591","219","73","29","3","3","23","44","146","58","9","8","41","88"
"8710000US3610595","ZCTA5 10595, New York","1595","1352","629","127","104","398","723","243","69","21","6","1","14","48","174","81","12","14","55","93"
"8710000US3610596","ZCTA5 10596, New York","449","313","150","22","33","95","163","136","42","25","4","2","19","17","94","57","5","5","47","37"
"8710000US3610597","ZCTA5 10597, New York","292","264","129","13","14","102","135","28","7","2","0","0","2","5","21","16","1","3","12","5"
"8710000US3610598","ZCTA5 10598, New York","7934","6912","3391","638","609","2144","3521","1022","289","124","21","24","79","165","733","381","31","24","326","352"
"8710000US3610601","ZCTA5 10601, New York","2382","1619","589","270","108","211","1030","763","170","61","19","11","31","109","593","321","53","64","204","272"
"8710000US3610603","ZCTA5 10603, New York","4176","2962","1429","407","293","729","1533","1214","279","122","31","24","67","157","935","492","80","81","331","443"
"8710000US3610604","ZCTA5 10604, New York","2875","2172","1137","221","232","684","1035","703","194","88","25","13","50","106","509","266","33","37","196","243"
"8710000US3610605","ZCTA5 10605, New York","4687","3890","1656","459","299","898","2234","797","198","76","15","14","47","122","599","282","52","45","185","317"
"8710000US3610606","ZCTA5 10606, New York","3719","2633","1357","355","319","683","1276","1086","341","191","55","43","93","150","745","412","86","58","268","333"
"8710000US3610607","ZCTA5 10607, New York","1753","1373","629","151","122","356","744","380","105","45","9","8","28","60","275","114","31","18","65","161"
"8710000US3610701","ZCTA5 10701, New York","14744","7840","3948","995","1022","1931","3892","6904","1480","773","248","164","361","707","5424","3668","786","905","1977","1756"
"8710000US3610703","ZCTA5 10703, New York","5008","3140","1523","371","358","794","1617","1868","450","210","56","41","113","240","1418","857","140","193","524","561"
"8710000US3610704","ZCTA5 10704, New York","7607","5325","2315","746","466","1103","3010","2282","653","225","69","27","129","428","1629","756","171","126","459","873"
"8710000US3610705","ZCTA5 10705, New York","9074","5050","2703","592","786","1325","2347","4024","916","510","140","130","240","406","3108","2074","458","526","1090","1034"
"8710000US3610706","ZCTA5 10706, New York","2286","1905","922","162","137","623","983","381","83","46","8","5","33","37","298","180","24","13","143","118"
"8710000US3610707","ZCTA5 10707, New York","2618","2020","1007","307","175","525","1013","598","127","33","8","4","21","94","471","235","37","28","170","236"
"8710000US3610708","ZCTA5 10708, New York","5159","4268","1888","545","346","997","2380","891","219","88","19","7","62","131","672","319","64","33","222","353"
"8710000US3610709","ZCTA5 10709, New York","2496","2063","1050","212","223","615","1013","433","101","45","10","5","30","56","332","146","17","13","116","186"
"8710000US3610710","ZCTA5 10710, New York","6655","5003","2024","580","384","1060","2979","1652","435","163","51","21","91","272","1217","553","100","100","353","664"
"8710000US3610801","ZCTA5 10801, New York","9030","5941","3290","805","881","1604","2651","3089","805","416","123","75","218","389","2284","1374","232","259","883","910"
"8710000US3610803","ZCTA5 10803, New York","3357","2709","1556","278","320","958","1153","648","149","75","8","4","63","74","499","296","31","37","228","203"
"8710000US3610804","ZCTA5 10804, New York","3957","3537","1679","341","333","1005","1858","420","108","37","3","7","27","71","312","156","23","6","127","156"
"8710000US3610805","ZCTA5 10805, New York","4159","2863","1261","380","263","618","1602","1296","368","186","56","37","93","182","928","481","105","62","314","447"
"8710000US3610901","ZCTA5 10901, New York","5937","4941","2360","460","504","1396","2581","996","252","116","24","20","72","136","744","394","53","45","296","350"
"8710000US3610910","ZCTA5 10910, New York","6","5","1","0","1","0","4","1","1","0","0","0","0","1","0","0","0","0","0","0"
"8710000US3610911","ZCTA5 10911, New York","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610913","ZCTA5 10913, New York","1353","1149","612","102","119","391","537","204","56","30","5","5","20","26","148","58","8","5","45","90"
"8710000US3610914","ZCTA5 10914, New York","117","103","48","12","10","26","55","14","6","4","1","1","2","2","8","5","0","1","4","3"
"8710000US3610915","ZCTA5 10915, New York","25","18","10","4","2","4","8","7","2","0","0","0","0","2","5","3","0","2","1","2"
"8710000US3610916","ZCTA5 10916, New York","1193","1022","526","106","88","332","496","171","56","32","8","5","19","24","115","64","13","9","42","51"
